tag,estimator,variant,sigma_obs,sim_seed,est_seed,block,coverage,rung,cal_skill,cal_skill_sd,cal_pearson,cal_spearman,cal_sign_accuracy,n_split_seeds,n_params
oracle_nuisance,oracle,nuisance,0.15,4,105,rank2,0.05,lowrank,-0.09511535903667406,0.1076511779564359,0.0030493720518700424,0.012193296193494144,0.5159778375239348,8,204
oracle_nuisance,oracle,nuisance,0.15,4,105,rank2,0.1,lowrank,-0.04076912084923803,0.03886687077021721,0.0051338274107352476,0.009634773825788607,0.5120231138721276,8,204
oracle_nuisance,oracle,nuisance,0.15,4,105,rank2,0.2,lowrank,-0.01585439837187927,0.019048233144238456,0.014858185216405823,0.018300420817455386,0.5158222931710381,8,204
oracle_nuisance,oracle,nuisance,0.15,4,105,rank2,0.4,lowrank,-0.006916024545212826,0.012270430736431838,-0.0012459988009462918,-0.010882221731503442,0.48493626580972404,8,204
oracle_nuisance,oracle,nuisance,0.15,4,105,rank2,0.7,lowrank,-0.00521832053582745,0.007358242127118858,-0.004059855288893558,-0.016923183647673607,0.49060534702979314,8,204
oracle_nuisance,oracle,nuisance,0.15,5,106,rank2,0.05,lowrank,-0.15314906904091438,0.2298573457000228,-0.014825659352519662,-0.022027316817089138,0.45931244526929665,8,204
oracle_nuisance,oracle,nuisance,0.15,5,106,rank2,0.1,lowrank,-0.0072823547912691106,0.010579936553328706,0.004921687483573488,0.0005799859817929853,0.5002395727527831,8,204
oracle_nuisance,oracle,nuisance,0.15,5,106,rank2,0.2,lowrank,-0.0014949867036730402,0.0038094482990624645,0.018754367829215687,0.007509793578914007,0.5199082294375744,8,204
oracle_nuisance,oracle,nuisance,0.15,5,106,rank2,0.4,lowrank,-0.010495478103767178,0.02666540339334532,0.005071700851475676,-0.0029249779569825904,0.48920429868953574,8,204
oracle_nuisance,oracle,nuisance,0.15,5,106,rank2,0.7,lowrank,0.00015380263534556238,0.0013111681626080645,0.025984505116065044,0.028303688739370583,0.5033017175245204,8,204
oracle_nuisance,oracle,nuisance,0.15,6,107,rank2,0.05,lowrank,-0.029085321081378332,0.05040980568033254,-0.003427477797555854,0.010721269391715098,0.5198876541635612,8,204
oracle_nuisance,oracle,nuisance,0.15,6,107,rank2,0.1,lowrank,-0.02291117572444963,0.037395829117909694,-0.007609640569497053,-0.00647483480384109,0.5044781192518693,8,204
oracle_nuisance,oracle,nuisance,0.15,6,107,rank2,0.2,lowrank,-0.02523687212671366,0.03786496590419116,-0.012778733701878665,-0.010964014833720268,0.4882879152868816,8,204
oracle_nuisance,oracle,nuisance,0.15,6,107,rank2,0.4,lowrank,-0.00297460033402272,0.004602382892045428,-0.0052751961656169995,-0.0014083145389352867,0.5148450551526023,8,204
oracle_nuisance,oracle,nuisance,0.15,6,107,rank2,0.7,lowrank,-0.0008484178279550975,0.0024361173426055167,0.003608762794097166,-0.01318594578175781,0.4711308911298621,8,204
oracle_nuisance,oracle,nuisance,0.15,7,108,rank2,0.05,lowrank,-0.0392961477129308,0.07772360948791704,0.003535974579517641,0.0006155197185904301,0.4806466726517787,8,204
oracle_nuisance,oracle,nuisance,0.15,7,108,rank2,0.1,lowrank,-0.02381088980886724,0.0373503978678245,-0.009704992981148606,-0.01283558930909067,0.49955959666608385,8,204
oracle_nuisance,oracle,nuisance,0.15,7,108,rank2,0.2,lowrank,-0.007886912591522216,0.01733980062989966,-0.0019353791799542718,0.017778742092254506,0.4759721589098841,8,204
oracle_nuisance,oracle,nuisance,0.15,7,108,rank2,0.4,lowrank,-0.0018353830764017837,0.003945098453631279,-0.012705525297213287,-0.012524685662096819,0.5137441361203788,8,204
oracle_nuisance,oracle,nuisance,0.15,7,108,rank2,0.7,lowrank,-0.0014324121040796833,0.0015238172210712577,-0.02250241167535939,-0.015578228301943444,0.4605398704922317,8,204
oracle_nuisance,oracle,nuisance,0.15,8,109,rank2,0.05,lowrank,-0.004633965277229313,0.010986916443959127,0.002979573990784382,0.011431989064510623,0.506476150648374,8,204
oracle_nuisance,oracle,nuisance,0.15,8,109,rank2,0.1,lowrank,-0.0053029950187123,0.0063139597381602275,0.02311050169561709,0.03018451059543272,0.5052971286684198,8,204
oracle_nuisance,oracle,nuisance,0.15,8,109,rank2,0.2,lowrank,-0.005830981537586433,0.012552467645253636,-0.0040830793059528515,-0.004756649902308986,0.4987288239122371,8,204
oracle_nuisance,oracle,nuisance,0.15,8,109,rank2,0.4,lowrank,-0.0014768125411617206,0.0034469652842037896,0.0024867119542339605,0.015201193860920248,0.47889067713484157,8,204
oracle_nuisance,oracle,nuisance,0.15,8,109,rank2,0.7,lowrank,3.433702697308583e-05,0.000573239822987045,-0.003673089499853465,0.00397521617379261,0.4741243300755614,8,204
oracle_nuisance,oracle,nuisance,0.15,9,110,rank2,0.05,lowrank,-0.04511636773258959,0.062121519635700236,-0.003077463010360506,0.006096172380271846,0.46000535294013556,8,204
