screen,drug,label,incremental_skill,skill_better,skill_base,max_sim_to_train,n_pairs,stratum
A375,99,vandetanib,-0.1012935686394143,0.10357575561466344,0.1889356096878413,0.4444444444444444,270,medium
PANC1,0,Allopurinol,0.11978695264394312,0.1396699983655311,0.023656053582199726,0.29411764705882354,270,medium
PANC1,1,Altretamine,0.10185517838577252,0.2236122369590403,0.13829888733409104,0.15,270,low
PANC1,2,Amifostine,-0.017340886839409153,0.09717143961067816,0.11209993174037806,0.1574074074074074,270,low
PANC1,3,Aminolevulinic Acid,0.08812402281742437,0.21831945479816103,0.14317400235455632,0.20512820512820515,270,low
PANC1,4,Anastrozole,0.1273305611560166,0.08471361775274248,-0.051047154452799615,0.26,270,medium
PANC1,5,Arsenic Trioxide,0.016288441102794926,0.19533999547180603,0.18208370695835496,0.0,270,low
PANC1,6,Axitinib,0.06682658760230731,-0.0516868789162593,-0.13062989109885562,0.2122329362828512,270,low
PANC1,7,Azacitidine,-0.15876728560375564,-0.4377256655794249,-0.24658209530692754,0.6444444444444445,270,high
PANC1,8,Bendamustine HCl,-0.13441002552501158,0.05955230421645615,0.17086995352659987,0.52,270,high
PANC1,9,Bleomycin,-0.03067137702110867,0.2574425302673329,0.28210462056212965,0.14039938556067588,270,low
PANC1,10,Bortezomib,0.029943055417955278,0.2254391193713197,0.20265078813884974,0.3176470588235294,270,medium
PANC1,11,Busulfan,0.007544897876826773,0.25475925420292694,0.24991482877379392,0.11159045153868279,270,low
PANC1,12,Cabazitaxel,0.5138125937050209,0.7270582843618406,0.4419835733475712,0.7920792079207922,270,high
PANC1,13,Capecitabine,0.024300658445134182,-0.004710611102338613,-0.028917458449207678,0.2857142857142857,270,medium
PANC1,14,Carboplatin,0.03863027438606759,-0.19748473396923472,-0.24391762298006273,0.19576719576719573,270,low
PANC1,15,Carmustine,-0.003652209093422565,0.07689936927993794,0.08127957739057419,0.5277777777777778,270,high
PANC1,16,Celecoxib,0.1581869468369923,0.23400140726266563,0.09130447584231734,0.1744507870610621,270,low
PANC1,17,Chlorambucil,0.02407561420391724,-0.4745157239138848,-0.5106463603132073,0.5365853658536586,270,high
PANC1,18,Cisplatin,0.042191791070193996,0.19082027989262854,0.15405331738766218,0.057539682539682536,270,low
PANC1,19,Cladribine,0.032898052493441354,-0.07483714358943401,-0.10887796190791706,0.6008004574042309,270,high
PANC1,20,Clofarabine,-0.1160655176348393,0.06404530327535866,0.1588719212751434,0.5787878787878787,270,high
PANC1,21,Crizotinib,0.033203440740979695,0.2052406168752848,0.17806701140839934,0.1854901960784314,270,low
PANC1,22,Cyclophosphamide,-0.016919063778776833,0.20580758369663713,0.21850653977500786,0.26988636363636365,270,medium
PANC1,23,Cytarabine; Ara-C,0.022725869871262572,0.04833437001028584,0.02612838500655394,0.6310185185185185,270,high
PANC1,24,Dacarbazine,0.13523747238983064,0.060254642892292286,-0.09079222745758915,0.20094760312151616,270,low
PANC1,25,Dactinomycin,-0.007873168557362753,0.22772796993499111,0.2327647724084032,0.18052333557833822,270,low
PANC1,26,Dasatinib,0.054658949160672377,0.2927130992694584,0.2531977567150618,0.24649859943977592,270,medium
PANC1,27,Daunorubicin HCl,0.34767962251676987,0.5565500074213738,0.31750184560684813,0.8533333333333334,270,high
PANC1,28,Decitabine,0.15594055784541416,0.3470616339128428,0.22595592518792937,0.6000267630135153,270,high
PANC1,29,Dexrazoxane HCl,-0.0431733409641748,-0.2978515265225132,-0.24370480576226802,0.20000000000000004,270,low
PANC1,30,Docetaxel,0.3941360514282485,0.6546153504720036,0.42922102440687143,0.783945061172784,270,high
