screen,model,drug,label,n_folds,n_pairs,mse,mse_zero,skill,pearson,max_sim_to_train,median_sim_to_train,bits_set,stratum
PANC1,pair_only,37,Floxuridine,3,270,0.02359563575264241,0.031006094838494338,0.24309826005800972,0.582564334392805,0.4716981132075471,0.08764492753623188,39,medium
PANC1,pair_only,38,Fludarabine Phosphate,3,270,0.014023385638014335,0.012245520517610237,-0.149451773745184,0.08519245948768273,0.4615384615384615,0.09256531287242732,50,medium
PANC1,pair_only,39,Fluorouracil (5-FU),3,270,0.04093690076116586,0.02729416633891556,-0.4883476401900222,-0.14910085191820957,0.3406404470234257,0.04865839162589003,19,medium
PANC1,pair_only,40,Fulvestrant,3,270,0.01269661984156953,0.013281732244918009,0.04257161918938723,0.26668938278866966,0.24242424242424243,0.0834512755900666,62,medium
PANC1,pair_only,41,Gefitinib,3,270,0.014475521414644782,0.014188135611716614,-0.0178441652714522,0.35457027259587354,0.4444444444444444,0.08052737460270258,60,medium
PANC1,pair_only,42,Gemcitabine HCl,3,270,0.025544603776568444,0.026889084261260437,0.049172881262532796,0.40267312061131233,0.5361111111111111,0.09860517939255564,40,high
PANC1,pair_only,43,Hydroxyurea,3,270,0.02328428879243689,0.026676563865674838,0.12725578319482164,0.4843939465096048,0.19354838709677416,0.04662857445869965,10,low
PANC1,pair_only,44,Ifosfamide,3,270,0.013206247746206745,0.014503163034583948,0.08753858088181554,0.3545787689562419,0.22891963109354416,0.05826601958612903,30,low
PANC1,pair_only,45,Imatinib Mesylate,3,270,0.02022964395091043,0.02438766899639823,0.1704854283725099,0.41564838135975674,0.4360725563633694,0.09399383918229147,65,medium
PANC1,pair_only,46,Imiquimod,3,270,0.0325021314580705,0.04344766844435996,0.24839568702366666,0.7223671760411455,0.20895522388059704,0.0923867798867799,37,low
PANC1,pair_only,47,Irinotecan HCl,3,270,0.0125995968541241,0.018405147270826466,0.32386454806444104,0.5825240317462618,0.5161290322580645,0.09716968266456859,78,high
PANC1,pair_only,48,Ixabepilone,3,270,0.046212312396234086,0.05175529650515264,0.10807875613944178,0.34162228548735674,0.1595959595959596,0.08211498178168473,67,low
PANC1,pair_only,49,Lapatinib Ditosylate,3,270,0.010231744873110215,0.011768119947571586,0.12943879688758778,0.3824540618426285,0.31683168316831684,0.07943679944118047,73,medium
PANC1,pair_only,50,Lenalidomide,3,270,0.01994766017554393,0.022572201699080762,0.11690972890122904,0.35495060673266443,0.5454545454545454,0.08095545225121314,39,high
PANC1,pair_only,51,Letrozole,3,270,0.009490981288653597,0.00874339807014962,-0.08547303548077179,0.05696396317101588,0.26,0.052992069214131216,29,medium
PANC1,pair_only,52,Lomustine; CCNU,3,270,0.023570219492782974,0.03127812031277709,0.24344997226534018,0.5126157060232205,0.5277777777777778,0.06420712572028361,30,high
PANC1,pair_only,53,Mechlorethamine HCl,3,270,0.0379065052254743,0.0345995568423946,-0.09487349293542217,0.08519538730023006,0.22847222222222222,0.032009440723849696,12,low
PANC1,pair_only,54,Megestrol acetate,3,270,0.0097869078434802,0.009478028947007125,-0.03104507499029267,0.13734351075423898,0.21955430006277465,0.07804979930333254,48,low
