tag,screen,representation,coverage,fold_key,partition,fold,model,n_params,synthetic_target,mse,mse_zero,skill,pearson,spearman,mae,rmse,sign_accuracy,n_pairs
primary,PANC1,ecfp4,1.0,p0f1,0,1,antisym_mlp,71808,False,0.024643168926498933,0.029085872123542585,0.15274436943727243,0.3931254091740774,0.40130294811063555,0.11405957486085797,0.15698142860382858,0.7422680412371134,900
primary,PANC1,ecfp4,1.0,p0f2,0,2,antisym_mlp,69568,False,0.021541575661196882,0.030094389082679626,0.2841996027227942,0.567041929341359,0.47626984920668564,0.1057317171623849,0.14677048634244175,0.7418478260869565,900
primary,PANC1,ecfp4,1.0,p0f3,0,3,antisym_mlp,35584,False,0.025419892717819914,0.03431265894358678,0.25916867125883203,0.5159129006711747,0.47263050942038204,0.11511788732658201,0.15943617129691717,0.7562189054726368,900
primary,PANC1,ecfp4,1.0,p0f4,0,4,antisym_mlp,71296,False,0.024661250686638683,0.0305336392038994,0.1923252082087471,0.4590285557159639,0.410070218193685,0.11641692225409107,0.1570390100791478,0.7310704960835509,900
primary,PANC1,ecfp4,1.0,p0f5,0,5,antisym_mlp,70144,False,0.01881379921369523,0.020459058036238174,0.08041713453418886,0.39701902226954006,0.3667656873650461,0.1038534546865325,0.1371634033322855,0.684375,900
primary,PANC1,ecfp4,1.0,p0f6,0,6,antisym_mlp,72384,False,0.018430283518109887,0.02117219936406537,0.1295054802199348,0.3978666712492668,0.3632060944931208,0.1006309552195037,0.1357581802990519,0.7089783281733746,900
primary,PANC1,ecfp4,1.0,p0f7,0,7,antisym_mlp,72000,False,0.017567916049238172,0.026437030479925832,0.3354807355320091,0.6202781342685048,0.5408809146677959,0.09425772943634207,0.1325440155164999,0.7945205479452054,900
primary,PANC1,ecfp4,1.0,p0f8,0,8,antisym_mlp,71104,False,0.018766611589203414,0.018701166458354103,-0.0034995213263864233,0.29931921660160477,0.2793459415793517,0.10359728816213945,0.13699128289494705,0.686046511627907,900
primary,PANC1,ecfp4,1.0,p0f9,0,9,antisym_mlp,73216,False,0.016260975374723607,0.02526178318111573,0.35630136407475044,0.5992447273310572,0.5096684810721988,0.0955416174434159,0.12751852953482332,0.7913279132791328,900
primary,PANC1,ecfp4,1.0,p1f2,1,2,antisym_mlp,70016,False,0.02635811337591716,0.03040743175718888,0.13316870736096886,0.3662075162080079,0.34207574741861824,0.11407194714937219,0.16235181974932453,0.6829268292682927,900
primary,PANC1,ecfp4,1.0,p1f0,1,0,antisym_mlp,71168,False,0.021605449072924377,0.027432718801517552,0.21242042288097296,0.4596587839779756,0.35888190808466014,0.1121220604028094,0.14698792152052623,0.6881443298969072,900
primary,PANC1,ecfp4,1.0,p1f1,1,1,antisym_mlp,72064,False,0.02093296960827153,0.02091851899099449,-0.0006908049887883738,0.27557606337126317,0.3018900517161132,0.11042344047779021,0.144682305788481,0.7088948787061995,900
primary,PANC1,ecfp4,1.0,p1f3,1,3,antisym_mlp,72128,False,0.023005735665130003,0.030656623999705274,0.2495672170115283,0.5398294264642649,0.502747435490661,0.1072102072462945,0.1516764176301972,0.8189415041782729,900
primary,PANC1,ecfp4,1.0,p1f4,1,4,antisym_mlp,36896,False,0.021797017937086823,0.02731628596918432,0.20205045584615045,0.4734617914248159,0.43868500249177267,0.10336337609752469,0.1476381317176793,0.7529411764705882,900
primary,PANC1,ecfp4,1.0,p1f6,1,6,antisym_mlp,36448,False,0.02311892340733517,0.030523517667894462,0.24258653085544146,0.49311494202039197,0.4580857671840748,0.11057152641461038,0.15204908223115052,0.7686170212765957,900
primary,PANC1,ecfp4,1.0,p1f5,1,5,antisym_mlp,68608,False,0.022439670831207025,0.026007291032509944,0.13717769362611743,0.36605338795426984,0.3245131907570256,0.11159059969542982,0.14979876778934806,0.707774798927614,900
